canonical_smiles,standard_units,standard_value,units,value,Potency
C=C(COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314)C(=O)OC,nM,17.0,nM,17.0,Active
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,nM,430.0,nM,430.0,Active
CCC[C@@](C)(O)[C@H]1C[C@@]23C=C[C@]1(OC)[C@@H]1Oc4c(O)ccc5c4[C@@]12CCN(C)[C@@H]3C5,nM,1.3,nM,1.3,Active
C=C(COc1ccc2c3c1O[C@H]1[C@@]4(OC)CC[C@@]5(C[C@@H]4C(C)(C)O)[C@@H](C2)N(CC2CC2)CC[C@]315)C(=O)OC,nM,1.3,nM,1.3,Active
CC(=O)c1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,nM,7900.0,nM,7900.0,Active
C=C(COc1ccc2c3c1O[C@H]1[C@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314)C(=O)OC,nM,34.0,nM,34.0,Active
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2c2ncc(-c4ccccc4)cc2C[C@@]3(O)[C@H]1C5,nM,920.0,nM,920.0,Active
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2c2ncc(-c4ccc(Cl)c(Cl)c4)cc2C[C@H]3[C@H]1C5,nM,74.0,nM,74.0,Active
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2c2ncc(-c4ccc(Br)cc4)cc2C[C@H]3[C@H]1C5,nM,55.0,nM,55.0,Active
Brc1ccc2c(c1)[C@H]1c3cc(Br)ccc3[C@H](C2)N2CCC[C@@H]12,nM,5020.0,nM,5020.0,Active
CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,nM,5.1,nM,5.1,Active
C[C@@H]1[C@H]2c3cc(NCc4ccccc4)ccc3C[C@@H](c3ccc(NCc4ccccc4)cc32)N1C,nM,120.0,nM,120.0,Active
Brc1ccc(CNc2ccc3c(c2)[C@H]2c4cc(NCc5ccc(Br)cc5)ccc4[C@H](C3)N3CCC[C@@H]23)cc1,nM,5300.0,nM,5300.0,Active
C[C@@H]1[C@H]2c3cc(N4CCOCC4)ccc3C[C@@H](c3ccc(N4CCOCC4)cc32)N1C,nM,7500.0,nM,7500.0,Active
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(N)=O,nM,730.0,nM,730.0,Active
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](C)NC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(N)=O,nM,1000.0,nM,1000.0,Active
C[C@@H]1[C@H]2c3cc(N4CCN(C)CC4)ccc3C[C@@H](c3ccc(N4CCN(C)CC4)cc32)N1CC1CC1,nM,2040.0,nM,2040.0,Active
CC(=O)Oc1ccc2c(c1)[C@H]1c3cc(OC(C)=O)ccc3[C@H](C2)N2CCC[C@@H]12,nM,2900.0,nM,2900.0,Active
COc1ccc2c(c1)[C@H]1c3cc(OC)ccc3[C@H](C2)N2CCC[C@@H]12,nM,4040.0,nM,4040.0,Active
C[C@@H]1[C@H]2c3cc(N4CCN(C)CC4)ccc3C[C@@H](c3ccc(N4CCN(C)CC4)cc32)N1C,nM,2500.0,nM,2500.0,Active
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(OC)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(N)=O,nM,25.5,nM,25.5,Active
CN1[C@@H]2Cc3ccccc3[C@@H](c3ccccc32)[C@@H]1Cc1ccccc1,nM,3442.0,nM,3442.0,Active
C[C@@H]1[C@H]2c3cc(Br)ccc3C[C@@H](c3ccc(Br)cc32)N1C,nM,8840.0,nM,8840.0,Active
C[C@@H]1[C@H]2c3cc(NCc4ccccc4)ccc3C[C@@H](c3ccc(NCc4ccccc4)cc32)N1CC1CC1,nM,49.0,nM,49.0,Active
C[C@@H]1[C@H]2c3cc(O)ccc3C[C@@H](c3ccc(O)cc32)N1C,nM,1300.0,nM,1300.0,Active
C[C@@H]1[C@H]2c3cc(Nc4ccccc4)ccc3C[C@@H](c3ccc(Nc4ccccc4)cc32)N1C,nM,530.0,nM,530.0,Active
CC(=O)Oc1ccc2c(c1)[C@H]1c3cc(OC(C)=O)ccc3[C@H](C2)N(CC2CC2)[C@@H]1C,nM,3300.0,nM,3300.0,Active
C[C@@H]1[C@H]2c3cc(Nc4ccccc4)ccc3C[C@@H](c3ccc(Nc4ccccc4)cc32)N1CC1CC1,nM,890.0,nM,890.0,Active
C[C@@H]1[C@H]2c3cc(O)ccc3C[C@@H](c3ccc(O)cc32)N1CC1CC1,nM,460.0,nM,460.0,Active
COc1ccc2c(c1)[C@H]1c3cc(OC)ccc3[C@H](C2)N(CC2CC2)[C@@H]1C,nM,6630.0,nM,6630.0,Active
Oc1ccc2c(c1)[C@H]1c3cc(O)ccc3[C@H](C2)N2CCC[C@@H]12,nM,3800.0,nM,3800.0,Active
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,nM,262.0,nM,262.0,Active
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCCN)C(=O)O,nM,929.0,nM,929.0,Active
NCCCC[C@H](NC(=O)[C@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)O,nM,4320.0,nM,4320.0,Active
CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(=O)O,nM,284.0,nM,284.0,Active
CC(C)C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCCN)C(=O)O,nM,2720.0,nM,2720.0,Active
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCCN)C(=O)O,nM,717.0,nM,717.0,Active
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NN,nM,230.0,nM,230.0,Active
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NNC(=O)[C@H](N)Cc1ccccc1,nM,46.0,nM,46.0,Active
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1,nM,2.6,nM,2.6,Active
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NNC(=O)[C@H](N)Cc1c[nH]c2ccccc12,nM,29.0,nM,29.0,Active
CCCC[C@@H](N)C(=O)NNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1,nM,71.0,nM,71.0,Active
CCCC[C@H](N)C(=O)NNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1,nM,21.0,nM,21.0,Active
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NNC(=O)[C@H](N)Cc1ccc(O)cc1,nM,16.0,nM,16.0,Active
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NNC(=O)[C@H](N)Cc1ccccc1,nM,15.0,nM,15.0,Active
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NNC(=O)[C@@H](N)Cc1ccccc1,nM,30.0,nM,30.0,Active
Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314,nM,32.0,nM,32.0,Active
Oc1ccc2c3c1O[C@H]1[C@H](OCc4cccc(N=C=S)c4)CC[C@@]4(O)C(C2)N(CC2CC2)CCC314,nM,6.5,nM,6.5,Active
Oc1ccc2c3c1O[C@H]1[C@H](OCc4ccc(CN=C=S)cc4)CC[C@@]4(O)C(C2)N(CC2CC2)CCC314,nM,21.0,nM,21.0,Active
Oc1ccc2c3c1O[C@H]1[C@H](OCc4ccccc4CN=C=S)CC[C@@]4(O)C(C2)N(CC2CC2)CCC314,nM,22.0,nM,22.0,Active
CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@H](CN1CCCC1)c1cccc(N)c1,nM,88.5,nM,88.5,Active
Oc1ccc2c3c1O[C@H]1[C@H](OCc4cccc(CN=C=S)c4)CC[C@@]4(O)C(C2)N(CC2CC2)CCC314,nM,12.0,nM,12.0,Active
Oc1ccc2c3c1O[C@H]1[C@H](OCc4ccccc4N=C=S)CC[C@@]4(O)C(C2)N(CC2CC2)CCC314,nM,1.8,nM,1.8,Active
Oc1ccc2c3c1O[C@H]1[C@H](OCc4ccc(N=C=S)cc4)CC[C@@]4(O)C(C2)N(CC2CC2)CCC314,nM,35.0,nM,35.0,Active
CC1CN(CCCc2ccccc2)C2CC(NC(=O)C3(c4ccccc4)CCCC3)CC1(c1cccc(O)c1)C2,nM,2.4,nM,2.4,Active
CC1CN(CCCc2ccccc2)C2C[C@@H](NC(=O)C3(c4ccccc4)CCCC3)CC1(c1cccc(O)c1)C2,nM,1.8,nM,1.8,Active
CC1CN(CCCc2ccccc2)C2C[C@H](NC(=O)C3(c4ccccc4)CCCC3)CC1(c1cccc(O)c1)C2,nM,15.2,nM,15.2,Active
Cc1ccccc1/C=C/CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1,nM,2.8,nM,2.8,Active
CCN(CC)C(=O)c1ccc(C(c2cccc3c2OC(C)(C)C3)N2CCNCC2)cc1,nM,1.15,nM,1.15,Active
CC(=O)c1ccc(C(c2ccccc2)N2CCNCC2)cc1,nM,1045.0,nM,1045.0,Active
C=CCN1CCN(C(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)CC1,nM,15.9,nM,15.9,Active
CCN(CC)C(=O)c1ccc(C(c2cccc(OC)c2)N2CC(C)(C)NCC2C)cc1,nM,8.44,nM,8.44,Active
CCN(CC)C(=O)c1ccc(C(c2ccc(Cl)cc2)N2CCNCC2)cc1,nM,19.3,nM,19.3,Active
O=C(CSSCC(=O)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CC1)[C@@H]2C5)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CC1)[C@@H]2C5,nM,24.0,nM,24.0,Active
C[C@@]12Oc3c(O)ccc4c3[C@@]13CCN(CC1CC1)[C@H](C4)[C@]3(NC(=O)CSSCC(=O)N[C@@]13CCC(=O)[C@]4(C)Oc5c(O)ccc6c5[C@@]41CCN(CC1CC1)[C@@H]3C6)CCC2=O,nM,5.3,nM,5.3,Active
CC(C)(O)c1ccc(C(c2ccccc2)N2CCNCC2)cc1,nM,406.0,nM,406.0,Active
CCN(CC)C(=O)c1ccc(C(c2ccc3ncccc3c2)N2CCNCC2)cc1,nM,61.6,nM,61.6,Active
CCCCN1CCN(C(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)CC1,nM,28.6,nM,28.6,Active
C=CCN1C[C@H](C)N([C@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(O)c2)C[C@H]1C,nM,0.23,nM,0.23,Active
CCN(CC)C(=O)c1ccc(C(c2ccccc2)N2CCCCC2)cc1,nM,2230.0,nM,2230.0,Active
COC(=O)c1ccc(C(c2ccccc2)N2CCNCC2)cc1,nM,307.0,nM,307.0,Active
CCN(CC)C(=O)c1ccc(C(c2cccc(OC)c2)N2CCNCC2)cc1,nM,24.8,nM,24.8,Active
CCN(CC)C(=O)c1ccc(C(c2ccccc2)N(C)CCNC)cc1,nM,91.6,nM,91.6,Active
CCN(CC)C(=O)c1ccc(C(c2cccc(F)c2)N2CCNCC2)cc1,nM,4.5,nM,4.5,Active
NC(=O)c1ccc(C(c2ccccc2)N2CCNCC2)cc1,nM,509.0,nM,509.0,Active
CCN(CC)C(=O)c1ccc(C(c2ccc3cccnc3c2)N2CCNCC2)cc1,nM,1.1,nM,1.1,Active
O=C(O)c1ccc(C(c2ccccc2)N2CCNCC2)cc1,nM,410.0,nM,410.0,Active
CN(C)C(=O)c1ccc(C(c2ccccc2)N2CCNCC2)cc1,nM,60.4,nM,60.4,Active
c1ccc(C(c2ccc(-c3nn[nH]n3)cc2)N2CCNCC2)cc1,nM,250.0,nM,250.0,Active
CCC(CC)C(=O)c1ccc(C(c2ccccc2)N2CCNCC2)cc1,nM,100.0,nM,100.0,Active
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(NC(=O)CSSCC(=O)N[C@@]23CCC(=O)[C@@H]4Oc6c(O)ccc7c6[C@@]42CCN(C)[C@@H]3C7)[C@H]1C5,nM,11.0,nM,11.0,Active
N#Cc1ccc(C(c2ccccc2)N2CCNCC2)cc1,nM,1294.0,nM,1294.0,Active
CCN(CC)C(=O)c1ccc(C(c2ccc(OC)cc2)N2CCNCC2)cc1,nM,8.13,nM,8.13,Active
CCN(CC)Cc1ccc(C(c2ccccc2)N2CCNCC2)cc1,nM,555.0,nM,555.0,Active
CCN(CC)S(=O)(=O)c1ccc(C(c2ccccc2)N2CCNCC2)cc1,nM,37.89,nM,37.89,Active
CCN(CC)C(=O)c1ccc(C(c2ccccc2)N2CCN(C)CC2)cc1,nM,40.4,nM,40.4,Active
CCN(CC)C(=O)c1ccc(C(c2cccc(OC)c2)N2CC(C)NCC2(C)C)cc1,nM,53.3,nM,53.3,Active
CCN(CC)C(=O)c1ccc(C(c2ccc3ccccc3c2)N2CCNCC2)cc1,nM,7.63,nM,7.63,Active
CCN(CC)C(=O)c1ccc(C(c2ccnc3ccccc23)N2CCNCC2)cc1,nM,132.0,nM,132.0,Active
CN1CC[C@]23c4c5ccc(O)c4O[C@@]2(C)C(=O)CC[C@@]3(NC(=O)CSSCC(=O)N[C@@]23CCC(=O)[C@]4(C)Oc6c(O)ccc7c6[C@@]42CCN(C)C3C7)C1C5,nM,52.0,nM,52.0,Active
CCN(CC)C(=O)c1ccc(C(c2cccc3cccnc23)N2CCNCC2)cc1,nM,0.51,nM,0.51,Active
CCN(CC)C(=O)c1ccc(C(c2ccc(C)cc2)N2CCNCC2)cc1,nM,8.42,nM,8.42,Active
CCN(CC)C(=O)c1ccc(C(c2ccc3cc[nH]c3c2)N2CCNCC2)cc1,nM,6.81,nM,6.81,Active
CCN(CC)C(=O)c1ccc(C(c2ccccc2)N2CCCNCC2)cc1,nM,19.6,nM,19.6,Active
CCNC(=O)c1ccc(C(c2ccccc2)N2CCNCC2)cc1,nM,175.0,nM,175.0,Active
CCN(CC)C(=O)c1ccc(C(c2cccc3ccccc23)N2CCNCC2)cc1,nM,2.36,nM,2.36,Active
CCN(CC)C(=O)c1ccc(C(C2CCCCC2)N2CCNCC2)cc1,nM,98.4,nM,98.4,Active
CN1CCc2cc(-c3ccc(C(c4ccccc4)N4CCNCC4)cc3)ccc2C1=O,nM,1653.0,nM,1653.0,Active
CCN(CC)C(=O)c1ccc(C(c2cccc3cnccc23)N2CCNCC2)cc1,nM,4.11,nM,4.11,Active
CCN(CC)C(=O)c1ccc(C(c2ccccc2)N2CCN(CC3CC3)CC2)cc1,nM,35.3,nM,35.3,Active
C[S+]([O-])CC[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)N=C(N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(N)=O,nM,300.0,nM,300.0,Active
CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)O,nM,2.54,nM,2.54,Active
CC(C)C[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc2ccc(O)cc2)CSSC[C@@H](C(N)=O)NC1=O,nM,104.0,nM,104.0,Active
CNC(=N)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC[S+](C)[O-])C(=O)N[C@@H](Cc1ccccc1)C(=O)NC(C)C(=O)OC,nM,2700.0,nM,2700.0,Active
C[S+]([O-])CC[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)O,nM,1980.0,nM,1980.0,Active
COC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC[S+](C)[O-])NC(=O)[C@@H](N)Cc1ccc(O)cc1,nM,850.0,nM,850.0,Active
C[S+]([O-])CC[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(N)=O,nM,312.0,nM,312.0,Active
COC(=O)CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC[S+](C)[O-])NC(=O)[C@H](Cc1ccc(O)cc1)N=C(N)N,nM,150.0,nM,150.0,Active
C[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(N)=O,nM,818.0,nM,818.0,Active
COC(=O)C(C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC[S+](C)[O-])NC(=O)[C@@H](N)Cc1ccc(O)cc1,nM,1400.0,nM,1400.0,Active
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(N)=O,nM,4.07,nM,4.07,Active
COC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC[S+](C)[O-])NC(=O)[C@H](Cc1ccc(O)cc1)N=C(N)N,nM,285.0,nM,285.0,Active
COC(=O)CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC[S+](C)[O-])NC(=O)[C@@H](N)Cc1ccc(O)cc1,nM,510.0,nM,510.0,Active
CC[C@H](C)[C@@H]1NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc2ccc(O)cc2)CSSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCN=C(N)N)NC1=O,nM,1.63,nM,1.63,Active
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H]1CSSC[C@H](C(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCN=C(N)N)NC1=O,nM,14.3,nM,14.3,Active
CN(CC(=O)O)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC[S+](C)[O-])NC(=O)[C@@H](N)Cc1ccc(O)cc1,nM,2120.0,nM,2120.0,Active
CN(CC(N)=O)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC[S+](C)[O-])NC(=O)[C@@H](N)Cc1ccc(O)cc1,nM,440.0,nM,440.0,Active
COc1ccc(F)cc1-c1cccn(C(CN2CCC(O)C2)c2ccccc2)c1=O,nM,460.0,nM,460.0,Active
CC(NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC[S+](C)[O-])NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)O,nM,2400.0,nM,2400.0,Active
CC(NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC[S+](C)[O-])NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(N)=O,nM,900.0,nM,900.0,Active
O=C(O)COc1cccc(C(CN2CCCC2)n2cccc(-c3ccc(C(F)(F)F)cc3)c2=O)c1,nM,5600.0,nM,5600.0,Active
